id,first_name,last_name,gender,time,location,total_bill,tip,food,Day
258,Bobbi,Cornfoot,Female,Dinner,Town,15.72,5.66,Eggs,Highday
259,Kessia,Tupp,Female,Luncheon,Gladden Fields,1.45,3.85,Strawberry and Banana French Toast,Hevensday
260,Lazarus,Thorald,Male,Supper,Town,28.75,5.93,Strawberry and Banana French Toast,Monday
261,Josefa,Jesteco,Female,Afternoon Tea,Dragon's Den,3.47,6.75,Bilbo's Tea Cake,Sterday
262,Zondra,McTaggart,Female,First Breakfast,The Shire,19.41,2.05,Beorn Honey Nut Cake,Monday
263,Bone,Brudenell,Male,Second Breakfast,Gladden Fields,18.56,2.04,Beorn Honey Nut Cake,Sterday
264,Burt,Ravenshear,Male,Dinner,Town,2.44,5.4,Eggs,Sterday
265,Dilly,Chidler,Male,First Breakfast,Town,33.67,8.63,Cheesy Garlic Bread Meatball Ring,Sterday
266,Vaclav,Bauman,Male,Dinner,Town,6.36,5.09,Bilbo's Tea Cake,Trewsday
267,Sari,Mateu,Female,Elevenses,Gladden Fields,26.18,2.61,Beorn Honey Nut Cake,Sunday
268,Fleurette,Cronk,Female,Supper,Town,10.75,1.68,Po-Tay-To Onion Soup,Sterday
269,Dane,Mil,Male,Second Breakfast,The Shire,3.91,5.75,Bilbo's Tea Cake,Monday
270,Kristi,Mandres,Female,First Breakfast,The Shire,30.31,1.19,Eggs,Sterday
271,Nesta,Pietzner,Female,Afternoon Tea,Gladden Fields,22.16,1.67,Cheesy Garlic Bread Meatball Ring,Hevensday
272,Tracie,Lesly,Female,Luncheon,Dragon's Den,22.79,1.14,Eggs,Mersday
273,Nariko,Kohrs,Female,Elevenses,Dragon's Den,28.41,8.53,Eggs,Sterday
274,Tabor,Deal,Male,Second Breakfast,Gladden Fields,11.32,6.83,Eggs,Sterday
275,Ganny,Antony,Male,Afternoon Tea,Gladden Fields,8.93,5.97,Strawberry and Banana French Toast,Highday
276,Chas,Rowcliffe,Male,Afternoon Tea,Gladden Fields,32.51,1.24,Strawberry and Banana French Toast,Hevensday
277,Elizabet,Andren,Female,Second Breakfast,Town,3.2,6.18,Strawberry and Banana French Toast,Highday
278,Teressa,Powys,Female,Dinner,The Shire,13.71,9.54,Beorn Honey Nut Cake,Mersday
279,Janela,Barmby,Female,Supper,The Shire,11.86,5.43,Strawberry and Banana French Toast,Highday
280,Fredek,Beedell,Male,Elevenses,The Shire,23.22,6.11,Strawberry and Banana French Toast,Hevensday
281,Bridie,Forestall,Female,Second Breakfast,Dragon's Den,8.13,7.38,Beorn Honey Nut Cake,Monday
282,Dulcia,Annear,Female,Dinner,The Shire,11.42,2.82,Eggs,Sterday
283,Flem,Barnes,Male,Luncheon,Town,14.08,7.75,Strawberry and Banana French Toast,Monday
284,Haze,Boolsen,Male,Luncheon,Gladden Fields,2.26,4.96,Po-Tay-To Onion Soup,Sterday
285,Chico,Halfacre,Male,Supper,Town,1.63,6.85,Po-Tay-To Onion Soup,Sterday
286,Delphine,McCarl,Female,Luncheon,The Shire,24.77,2.79,Strawberry and Banana French Toast,Mersday
287,Lucais,Kingswood,Male,First Breakfast,Town,27.47,8.22,Strawberry and Banana French Toast,Monday
288,Lauretta,Musgrove,Female,First Breakfast,The Shire,30.9,6.73,Beorn Honey Nut Cake,Highday
289,Shawnee,Seifert,Female,Second Breakfast,Dragon's Den,17.53,8.68,Eggs,Sunday
290,Tonye,Brachell,Female,Elevenses,Town,27.15,9.1,Bilbo's Tea Cake,Highday
291,Georgy,Thripp,Male,First Breakfast,Gladden Fields,9.08,6.88,Strawberry and Banana French Toast,Trewsday
292,Gwynne,Lowdham,Female,Afternoon Tea,Town,31.21,8.36,Eggs,Trewsday
293,Arnie,Martusov,Male,Dinner,Dragon's Den,19.36,8.71,Eggs,Sterday
294,Cordula,Hundley,Female,Luncheon,The Shire,22.04,5.51,Bilbo's Tea Cake,Highday
295,Bertram,Cake,Male,Second Breakfast,Town,12.03,9.24,Bilbo's Tea Cake,Sunday
296,Allene,McGruar,Female,Luncheon,The Shire,3.95,9.22,Cheesy Garlic Bread Meatball Ring,Sunday
297,Araldo,Kettleson,Male,Second Breakfast,Gladden Fields,32.14,1.59,Eggs,Highday
298,Sheree,Athey,Female,Afternoon Tea,Town,20.8,4.33,Po-Tay-To Onion Soup,Hevensday
299,Caralie,Horsley,Female,Second Breakfast,Town,18.43,8.98,Bilbo's Tea Cake,Sterday
300,Teena,Dewdeny,Female,Elevenses,Dragon's Den,22.4,4.34,Beorn Honey Nut Cake,Monday
301,Fanechka,Le Barre,Female,Second Breakfast,Dragon's Den,33.5,9.86,Beorn Honey Nut Cake,Mersday
302,Hamilton,Orehead,Male,First Breakfast,The Shire,10.61,7.8,Po-Tay-To Onion Soup,Trewsday
303,Julietta,Mounce,Female,Supper,Dragon's Den,33.58,7.15,Cheesy Garlic Bread Meatball Ring,Sterday
304,Kass,Huntingdon,Female,Dinner,Gladden Fields,16.86,7.35,Bilbo's Tea Cake,Monday
305,Erika,Tomaello,Female,Second Breakfast,The Shire,24.64,2.25,Strawberry and Banana French Toast,Highday
306,Merrie,Blooman,Female,Elevenses,Gladden Fields,8.02,2.1,Strawberry and Banana French Toast,Mersday
307,Hillery,Cardozo,Male,Afternoon Tea,Gladden Fields,7.41,6.44,Strawberry and Banana French Toast,Trewsday
308,Roderigo,Starbeck,Male,Afternoon Tea,The Shire,12.02,3.91,Strawberry and Banana French Toast,Hevensday
309,Guillema,Shanklin,Female,Second Breakfast,Gladden Fields,27.72,9.8,Beorn Honey Nut Cake,Hevensday
310,Jarrad,Ellar,Male,Afternoon Tea,The Shire,20.96,5.06,Strawberry and Banana French Toast,Sunday
311,Ollie,Lowsely,Female,Second Breakfast,The Shire,21.82,9.23,Cheesy Garlic Bread Meatball Ring,Hevensday
312,Mufi,MacKimmie,Female,Elevenses,Gladden Fields,32.13,9.65,Beorn Honey Nut Cake,Monday
313,Dolorita,Hane,Female,Second Breakfast,Town,23.72,7.78,Strawberry and Banana French Toast,Highday
314,Colene,Vinsen,Female,Dinner,Gladden Fields,33.04,8.67,Strawberry and Banana French Toast,Trewsday
315,Moina,Paulich,Female,Dinner,Dragon's Den,6.84,4.57,Eggs,Monday
316,Mercy,Epinay,Female,Second Breakfast,Town,28.86,8.13,Eggs,Mersday
317,Allayne,Polamontayne,Male,Luncheon,The Shire,12.92,3.45,Strawberry and Banana French Toast,Mersday
318,Kevyn,Hupe,Female,Dinner,Gladden Fields,14.61,6.46,Po-Tay-To Onion Soup,Sterday
319,Zandra,Tyres,Female,Second Breakfast,Town,28.75,5.2,Eggs,Sterday
320,Kristofor,Mitkov,Male,Dinner,Gladden Fields,7.86,7.39,Cheesy Garlic Bread Meatball Ring,Mersday
321,Reinaldos,Tuohy,Male,Dinner,Town,25.2,1.84,Cheesy Garlic Bread Meatball Ring,Mersday
322,Colver,Arnaudon,Male,Supper,Town,33.67,4.37,Strawberry and Banana French Toast,Hevensday
323,Torr,Smewings,Male,Supper,Dragon's Den,4.36,1.15,Strawberry and Banana French Toast,Highday
324,Liza,Kinleyside,Female,First Breakfast,Gladden Fields,24.39,7.48,Strawberry and Banana French Toast,Sterday
325,Vivyanne,Finlayson,Female,Supper,Town,23.55,8.94,Po-Tay-To Onion Soup,Highday
326,Gaspar,Geillier,Male,Afternoon Tea,Gladden Fields,15.86,4.72,Eggs,Hevensday
327,Jordain,Cooch,Female,First Breakfast,The Shire,1.06,4.17,Cheesy Garlic Bread Meatball Ring,Hevensday
328,Skye,Cordsen,Male,Supper,Gladden Fields,17.01,4.24,Beorn Honey Nut Cake,Trewsday
329,Malissia,Petto,Female,Afternoon Tea,Gladden Fields,33.36,5.64,Bilbo's Tea Cake,Hevensday
330,Joline,Tarquinio,Female,Dinner,Gladden Fields,13.49,8.32,Beorn Honey Nut Cake,Hevensday
331,Orland,Andrichak,Male,Luncheon,The Shire,25.14,8.89,Po-Tay-To Onion Soup,Sterday
332,Livia,Naisby,Female,Second Breakfast,Gladden Fields,34.43,6.24,Strawberry and Banana French Toast,Trewsday
333,Trumaine,Lindeman,Male,Afternoon Tea,Dragon's Den,33.27,4.28,Bilbo's Tea Cake,Trewsday
334,Sal,Belz,Male,Elevenses,Town,30.99,6.24,Bilbo's Tea Cake,Monday
335,Haley,Aubert,Male,Dinner,Town,4.75,8.49,Beorn Honey Nut Cake,Monday
336,Vidovic,Rennels,Male,Luncheon,Dragon's Den,6.27,5.18,Beorn Honey Nut Cake,Sterday
337,Nolly,Pennino,Male,Dinner,Town,16.12,4.81,Cheesy Garlic Bread Meatball Ring,Monday
338,Ekaterina,Meaden,Female,Afternoon Tea,Gladden Fields,25.33,5.6,Po-Tay-To Onion Soup,Highday
339,Hebert,Cornish,Male,Afternoon Tea,The Shire,14.48,1.76,Bilbo's Tea Cake,Monday
340,Marrissa,De Beauchemp,Female,Supper,Gladden Fields,34.37,1.01,Strawberry and Banana French Toast,Trewsday
341,Stearn,Denmead,Male,Supper,Dragon's Den,4.41,4.87,Cheesy Garlic Bread Meatball Ring,Monday
342,Merill,Toffoletto,Male,First Breakfast,Town,34.37,4.36,Po-Tay-To Onion Soup,Highday
343,Ian,Beebis,Male,Elevenses,Dragon's Den,20.15,9.17,Eggs,Hevensday
344,Shina,Gethen,Female,Afternoon Tea,Dragon's Den,18.47,1.96,Eggs,Trewsday
345,Wileen,Engel,Female,Second Breakfast,The Shire,14.84,3.51,Eggs,Monday
346,Melinda,Brendish,Female,Supper,The Shire,26.94,3.94,Bilbo's Tea Cake,Sunday
347,Marisa,Scutts,Female,First Breakfast,Town,24.79,7.04,Strawberry and Banana French Toast,Sunday
348,Charlot,Dilliston,Female,Afternoon Tea,Gladden Fields,22.18,9.9,Bilbo's Tea Cake,Highday
349,Lloyd,Bruton,Male,Luncheon,Gladden Fields,3.65,5.07,Cheesy Garlic Bread Meatball Ring,Trewsday
350,Marnia,Dumbreck,Female,Supper,Town,24.15,1.48,Po-Tay-To Onion Soup,Sunday
351,Shannen,Shevill,Female,Luncheon,The Shire,10.18,5.0,Eggs,Mersday
352,Ynes,Girardeau,Female,Afternoon Tea,Dragon's Den,5.28,6.79,Eggs,Monday
353,Jammie,Moffatt,Female,Dinner,Dragon's Den,5.34,9.66,Beorn Honey Nut Cake,Mersday
354,Lotty,Vaadeland,Female,Second Breakfast,The Shire,7.33,3.26,Bilbo's Tea Cake,Hevensday
355,Derby,O' Lone,Male,Second Breakfast,Dragon's Den,7.82,4.2,Po-Tay-To Onion Soup,Monday
356,Leupold,Dumbare,Male,Supper,Town,8.03,2.61,Bilbo's Tea Cake,Highday
357,Arlie,Hinge,Female,Elevenses,Dragon's Den,28.61,5.34,Po-Tay-To Onion Soup,Mersday
358,Kai,Niese,Female,Elevenses,Gladden Fields,10.31,3.85,Bilbo's Tea Cake,Mersday
359,Warde,Baselli,Male,Afternoon Tea,Town,33.71,1.42,Bilbo's Tea Cake,Highday
360,Noelle,MacKall,Female,Dinner,Town,15.11,7.8,Beorn Honey Nut Cake,Mersday
361,Katalin,Pinkerton,Female,Dinner,Dragon's Den,28.33,3.6,Cheesy Garlic Bread Meatball Ring,Trewsday
362,Bronson,Medlicott,Male,Afternoon Tea,Town,13.84,7.74,Po-Tay-To Onion Soup,Sunday
363,Juliana,Justis,Female,Dinner,The Shire,11.32,6.11,Bilbo's Tea Cake,Trewsday
364,Myrtle,Rable,Female,Luncheon,Dragon's Den,14.36,6.85,Bilbo's Tea Cake,Sunday
365,Goldy,Grzelak,Female,First Breakfast,Town,24.33,6.68,Po-Tay-To Onion Soup,Sterday
366,Benni,Edeler,Female,Luncheon,Gladden Fields,30.65,5.12,Bilbo's Tea Cake,Mersday
367,Egor,Perell,Male,Elevenses,Gladden Fields,8.22,3.61,Strawberry and Banana French Toast,Mersday
368,Ange,Mundwell,Female,Luncheon,Town,31.07,6.88,Beorn Honey Nut Cake,Trewsday
369,Antonin,Brymner,Male,Luncheon,The Shire,18.44,5.9,Eggs,Hevensday
370,Delora,Moodey,Female,Afternoon Tea,Town,26.39,1.7,Beorn Honey Nut Cake,Monday
371,Jeanne,Dawtry,Female,Second Breakfast,The Shire,8.83,1.43,Bilbo's Tea Cake,Trewsday
372,Westbrook,Giacobilio,Male,Second Breakfast,Gladden Fields,10.33,5.96,Strawberry and Banana French Toast,Hevensday
373,Ange,Plinck,Male,Dinner,Town,33.09,8.26,Eggs,Trewsday
374,Jenilee,Slavin,Female,Afternoon Tea,Town,24.24,1.04,Strawberry and Banana French Toast,Mersday
375,Colette,Siemantel,Female,Second Breakfast,Gladden Fields,19.07,5.79,Cheesy Garlic Bread Meatball Ring,Hevensday
376,Jacintha,Scragg,Female,Afternoon Tea,Dragon's Den,31.56,9.82,Bilbo's Tea Cake,Hevensday
377,Alfredo,Salt,Male,First Breakfast,Dragon's Den,15.07,6.47,Beorn Honey Nut Cake,Hevensday
378,Filippa,Szymon,Female,Dinner,The Shire,33.95,3.2,Cheesy Garlic Bread Meatball Ring,Hevensday
379,Robbert,Vel,Male,Dinner,Gladden Fields,31.46,3.76,Eggs,Highday
380,Darcee,Staresmeare,Female,Second Breakfast,The Shire,16.97,7.13,Po-Tay-To Onion Soup,Trewsday
381,Roma,Utterson,Male,Dinner,Town,5.18,4.9,Eggs,Hevensday
382,Chancey,Gerrill,Male,Dinner,Town,20.36,5.95,Cheesy Garlic Bread Meatball Ring,Hevensday
383,Cchaddie,Casassa,Male,Luncheon,Gladden Fields,29.4,9.79,Eggs,Monday
384,Garrett,Bootell,Male,Afternoon Tea,Dragon's Den,7.71,4.71,Beorn Honey Nut Cake,Mersday
385,Rozalin,Newcomen,Female,Supper,Town,11.78,3.01,Cheesy Garlic Bread Meatball Ring,Sunday
386,Frannie,Spencelayh,Female,Supper,Town,16.13,3.18,Beorn Honey Nut Cake,Hevensday
387,Hyatt,Selbach,Male,Dinner,Town,22.89,2.68,Beorn Honey Nut Cake,Trewsday
388,Lil,Triggel,Female,First Breakfast,Dragon's Den,27.34,4.49,Eggs,Mersday
389,Kissee,Hefforde,Female,Luncheon,Town,16.07,8.16,Bilbo's Tea Cake,Hevensday
390,Kennett,Towhey,Male,Second Breakfast,Dragon's Den,1.52,8.48,Beorn Honey Nut Cake,Sterday
391,Audrey,Brockest,Female,Supper,Gladden Fields,34.52,4.55,Po-Tay-To Onion Soup,Monday
392,Natka,Cowlishaw,Female,Elevenses,The Shire,19.74,6.38,Po-Tay-To Onion Soup,Mersday
393,Mable,Upchurch,Female,First Breakfast,Gladden Fields,31.02,8.71,Po-Tay-To Onion Soup,Mersday
394,Anselma,Vasilchikov,Female,Luncheon,Dragon's Den,16.52,2.74,Eggs,Hevensday
395,Izaak,Idill,Male,Second Breakfast,Dragon's Den,12.5,4.07,Beorn Honey Nut Cake,Hevensday
396,Willdon,Wildbore,Male,First Breakfast,Dragon's Den,22.12,7.57,Eggs,Trewsday
397,Annemarie,Bellworthy,Female,Second Breakfast,Dragon's Den,3.25,9.68,Eggs,Mersday
398,Ernst,Vatcher,Male,Second Breakfast,The Shire,2.17,3.82,Bilbo's Tea Cake,Sunday
399,Julissa,Sentance,Female,Second Breakfast,The Shire,10.75,5.64,Eggs,Highday
400,Ambros,Rennels,Male,Afternoon Tea,The Shire,29.93,8.29,Po-Tay-To Onion Soup,Mersday
401,Jared,Dacres,Male,First Breakfast,The Shire,33.81,4.86,Cheesy Garlic Bread Meatball Ring,Highday
402,Rosabelle,Hallifax,Female,First Breakfast,Town,27.05,1.69,Bilbo's Tea Cake,Sterday
403,Darnell,Lovewell,Male,Luncheon,Gladden Fields,27.15,3.53,Strawberry and Banana French Toast,Monday
404,Nancey,Broster,Female,Second Breakfast,Dragon's Den,19.85,6.33,Eggs,Highday
405,Cobb,Chillingsworth,Male,Supper,Town,28.75,1.02,Bilbo's Tea Cake,Sterday
406,Wyatan,McBay,Male,Luncheon,Gladden Fields,15.71,5.49,Beorn Honey Nut Cake,Sterday
407,Dall,Giovannardi,Male,Supper,Town,16.36,8.09,Strawberry and Banana French Toast,Mersday
408,Durant,Beagen,Male,Luncheon,The Shire,19.16,1.25,Cheesy Garlic Bread Meatball Ring,Monday
409,Barbabas,Cardinale,Male,Afternoon Tea,Gladden Fields,28.91,7.96,Beorn Honey Nut Cake,Hevensday
410,Cary,Tufts,Male,Elevenses,Dragon's Den,10.1,8.52,Po-Tay-To Onion Soup,Mersday
411,Selena,Baccup,Female,Second Breakfast,Town,9.73,1.92,Beorn Honey Nut Cake,Trewsday
412,Crosby,Velasquez,Male,Afternoon Tea,The Shire,11.85,9.95,Cheesy Garlic Bread Meatball Ring,Sunday
413,Gwendolen,Cavee,Female,Supper,Dragon's Den,2.3,2.4,Eggs,Hevensday
414,Pennie,Klimp,Male,Supper,Gladden Fields,19.2,6.27,Beorn Honey Nut Cake,Mersday
415,Chloe,Warrilow,Female,Elevenses,Town,25.68,3.96,Po-Tay-To Onion Soup,Mersday
416,Reagan,Iannello,Male,Dinner,The Shire,22.16,8.29,Beorn Honey Nut Cake,Sterday
417,Gabi,Colliss,Male,Dinner,Gladden Fields,23.26,3.6,Beorn Honey Nut Cake,Mersday
418,Johan,Storton,Male,Dinner,Gladden Fields,32.26,4.35,Bilbo's Tea Cake,Highday
419,Marta,Coventry,Female,Second Breakfast,Dragon's Den,18.25,7.52,Strawberry and Banana French Toast,Hevensday
420,Nettle,Eccersley,Female,Dinner,The Shire,8.52,3.92,Strawberry and Banana French Toast,Sterday
421,Silvan,Connor,Male,Second Breakfast,The Shire,27.29,8.32,Strawberry and Banana French Toast,Hevensday
422,Gregg,Gidley,Male,Elevenses,Dragon's Den,33.48,7.48,Strawberry and Banana French Toast,Highday
423,Kayne,Gossage,Male,Elevenses,Dragon's Den,23.83,2.6,Po-Tay-To Onion Soup,Sunday
424,Eran,Clampe,Female,Dinner,Town,3.76,6.12,Eggs,Trewsday
425,Juditha,Ebenezer,Female,First Breakfast,Town,32.62,3.75,Beorn Honey Nut Cake,Trewsday
426,Wake,Jeyness,Male,Supper,The Shire,12.01,7.62,Po-Tay-To Onion Soup,Trewsday
427,Missie,Steuart,Female,Second Breakfast,The Shire,15.51,3.03,Bilbo's Tea Cake,Sunday
428,Lynne,Braune,Female,Afternoon Tea,Gladden Fields,18.64,2.09,Eggs,Highday
429,Devy,Tiplady,Male,Second Breakfast,Dragon's Den,1.08,2.03,Beorn Honey Nut Cake,Mersday
430,Lief,Castaner,Male,Elevenses,The Shire,30.92,1.61,Po-Tay-To Onion Soup,Highday
431,Denys,Prevett,Male,Elevenses,Dragon's Den,19.46,3.95,Beorn Honey Nut Cake,Sterday
432,Alfie,Thirst,Female,First Breakfast,The Shire,4.26,4.45,Beorn Honey Nut Cake,Sunday
433,Eamon,Hartle,Male,Supper,The Shire,24.98,3.92,Bilbo's Tea Cake,Highday
434,Eben,Font,Male,Supper,Town,32.96,4.25,Strawberry and Banana French Toast,Trewsday
435,Abbot,McGuire,Male,Afternoon Tea,Dragon's Den,10.54,7.07,Bilbo's Tea Cake,Mersday
436,Calla,Bushill,Female,Dinner,The Shire,20.46,5.96,Bilbo's Tea Cake,Hevensday
437,Ewan,Haton,Male,Luncheon,Gladden Fields,23.51,7.33,Eggs,Highday
438,Isidora,Grandin,Female,Dinner,Dragon's Den,31.92,5.28,Po-Tay-To Onion Soup,Mersday
439,Cosetta,Heiss,Female,Afternoon Tea,The Shire,14.07,3.57,Po-Tay-To Onion Soup,Mersday
440,Slade,Pithie,Male,Dinner,Dragon's Den,26.17,2.47,Bilbo's Tea Cake,Sterday
441,Jeffry,Stoney,Male,First Breakfast,Gladden Fields,9.21,4.16,Bilbo's Tea Cake,Hevensday
442,Fabien,Klemensiewicz,Male,Luncheon,The Shire,23.06,5.64,Strawberry and Banana French Toast,Sterday
443,Nefen,Garvey,Male,Dinner,Dragon's Den,11.49,2.69,Strawberry and Banana French Toast,Hevensday
444,Nada,Gaule,Female,Luncheon,The Shire,7.71,6.21,Beorn Honey Nut Cake,Mersday
445,Danella,Bigly,Female,Luncheon,Town,20.41,4.16,Eggs,Sunday
446,Gaye,Pentecost,Female,First Breakfast,Dragon's Den,1.62,5.4,Bilbo's Tea Cake,Mersday
447,Rupert,Vanlint,Male,Dinner,Dragon's Den,16.21,8.06,Beorn Honey Nut Cake,Hevensday
448,Denice,Sweetsur,Female,Dinner,Gladden Fields,21.14,1.55,Po-Tay-To Onion Soup,Mersday
449,Lurlene,Virgo,Female,Luncheon,Town,24.05,3.45,Po-Tay-To Onion Soup,Sunday
450,Julius,Strauss,Male,First Breakfast,Dragon's Den,14.85,2.93,Cheesy Garlic Bread Meatball Ring,Trewsday
451,Arne,Hamner,Male,Second Breakfast,Gladden Fields,33.73,9.79,Bilbo's Tea Cake,Highday
452,Bradan,Prangnell,Male,Second Breakfast,The Shire,22.92,6.11,Beorn Honey Nut Cake,Hevensday
453,Fergus,Pickavant,Male,Supper,The Shire,11.93,8.52,Strawberry and Banana French Toast,Hevensday
454,Genna,Seres,Female,Elevenses,Dragon's Den,18.74,9.82,Po-Tay-To Onion Soup,Hevensday
455,Alaster,Zorzoni,Male,Afternoon Tea,The Shire,25.42,7.27,Eggs,Hevensday
456,Dougie,Tewelson,Male,Second Breakfast,Town,33.51,2.26,Po-Tay-To Onion Soup,Trewsday
457,Gregoor,Pimblott,Male,Afternoon Tea,Dragon's Den,23.77,8.05,Strawberry and Banana French Toast,Monday
458,Bengt,Davidove,Male,First Breakfast,Dragon's Den,19.09,7.04,Cheesy Garlic Bread Meatball Ring,Hevensday
459,Benetta,Schole,Female,Elevenses,Town,10.29,2.57,Beorn Honey Nut Cake,Monday
460,Nappie,Sedgmond,Male,First Breakfast,Gladden Fields,2.34,5.33,Cheesy Garlic Bread Meatball Ring,Monday
461,Corey,Crawshay,Female,Second Breakfast,The Shire,18.34,6.91,Bilbo's Tea Cake,Highday
462,Tadeas,Woodford,Male,Afternoon Tea,The Shire,8.89,7.75,Eggs,Sterday
463,Odetta,Fermer,Female,Elevenses,The Shire,2.03,4.36,Po-Tay-To Onion Soup,Monday
464,Pepito,Minton,Male,Elevenses,Dragon's Den,14.95,2.39,Cheesy Garlic Bread Meatball Ring,Trewsday
465,Shellysheldon,Arpe,Male,Supper,Dragon's Den,31.27,3.24,Bilbo's Tea Cake,Monday
466,Hyacintha,Fairholme,Female,Elevenses,Town,9.79,1.6,Po-Tay-To Onion Soup,Highday
467,Dennie,Freebury,Male,First Breakfast,Gladden Fields,12.21,6.48,Strawberry and Banana French Toast,Hevensday
468,Oby,Maclaine,Male,Supper,Gladden Fields,6.9,1.23,Beorn Honey Nut Cake,Sterday
469,Opalina,Hazelby,Female,Supper,Dragon's Den,9.91,8.05,Bilbo's Tea Cake,Monday
470,Kennedy,Guitel,Male,Afternoon Tea,Town,6.18,3.41,Eggs,Sterday
471,Jemie,Orridge,Female,Afternoon Tea,Gladden Fields,29.15,3.47,Bilbo's Tea Cake,Sterday
472,Allen,Brunning,Male,First Breakfast,Dragon's Den,33.06,7.39,Bilbo's Tea Cake,Trewsday
473,Kathie,Greiswood,Female,Luncheon,The Shire,11.56,9.83,Cheesy Garlic Bread Meatball Ring,Highday
474,Paul,Zamorano,Male,Luncheon,Dragon's Den,31.81,5.37,Strawberry and Banana French Toast,Mersday
475,Flynn,Mullane,Male,Elevenses,Gladden Fields,30.51,1.05,Eggs,Highday
476,Harriott,Pietruszka,Female,Supper,Gladden Fields,32.12,1.82,Eggs,Trewsday
477,Glynn,Bourke,Male,Luncheon,Dragon's Den,33.12,4.89,Po-Tay-To Onion Soup,Monday
478,Svend,Reveley,Male,Dinner,Town,15.74,1.4,Eggs,Mersday
479,Meyer,Blenkensop,Male,Dinner,Town,4.17,2.68,Po-Tay-To Onion Soup,Hevensday
480,Efren,Mushet,Male,Elevenses,Dragon's Den,20.71,7.21,Bilbo's Tea Cake,Mersday
481,Felic,Feldheim,Male,Luncheon,Town,17.11,9.25,Bilbo's Tea Cake,Sunday
482,Audrey,Hanstock,Female,Afternoon Tea,Town,30.39,7.74,Po-Tay-To Onion Soup,Monday
483,Raynor,Bigglestone,Male,Supper,Dragon's Den,15.66,7.51,Beorn Honey Nut Cake,Highday
484,Blanche,Linnitt,Female,Second Breakfast,Dragon's Den,34.34,1.66,Cheesy Garlic Bread Meatball Ring,Trewsday
485,Lanny,Huthart,Male,Luncheon,Town,21.91,2.45,Strawberry and Banana French Toast,Sunday
486,Chiquia,Lucock,Female,Elevenses,The Shire,7.5,2.57,Eggs,Trewsday
487,Anselma,Kinsman,Female,Elevenses,Gladden Fields,30.07,1.83,Po-Tay-To Onion Soup,Sunday
488,Minetta,Wakeley,Female,Supper,Gladden Fields,21.64,9.4,Beorn Honey Nut Cake,Hevensday
489,Stanfield,Bruyntjes,Male,Elevenses,Town,14.75,7.02,Bilbo's Tea Cake,Trewsday
490,Orrin,Roelofsen,Male,Elevenses,Dragon's Den,14.53,6.23,Cheesy Garlic Bread Meatball Ring,Sunday
491,Ephraim,Fabri,Male,Second Breakfast,Gladden Fields,31.26,7.44,Beorn Honey Nut Cake,Monday
492,Hartley,Caulier,Male,Afternoon Tea,Town,24.07,7.22,Cheesy Garlic Bread Meatball Ring,Sterday
493,Dav,Trazzi,Male,Luncheon,Dragon's Den,28.75,3.9,Cheesy Garlic Bread Meatball Ring,Sterday
494,Hillary,Nekrews,Female,Second Breakfast,Gladden Fields,20.29,5.26,Po-Tay-To Onion Soup,Monday
495,Dew,Beaney,Male,Supper,Town,8.16,7.13,Po-Tay-To Onion Soup,Mersday
496,Torey,Sayle,Female,Supper,Town,21.28,8.35,Cheesy Garlic Bread Meatball Ring,Monday
497,Mead,Swan,Male,Second Breakfast,The Shire,21.1,5.09,Cheesy Garlic Bread Meatball Ring,Sunday
498,Martino,Dorton,Male,Dinner,The Shire,27.6,9.47,Bilbo's Tea Cake,Mersday
499,Rowena,Tant,Female,First Breakfast,Gladden Fields,12.86,6.36,Bilbo's Tea Cake,Sterday
500,Taddeo,Dunn,Male,First Breakfast,The Shire,4.8,5.51,Strawberry and Banana French Toast,Hevensday
501,Geordie,Mingauld,Male,Elevenses,Gladden Fields,29.34,7.74,Cheesy Garlic Bread Meatball Ring,Trewsday
502,Jere,Spurriar,Male,Luncheon,Town,27.49,6.87,Strawberry and Banana French Toast,Highday
503,Beale,Bown,Male,Dinner,Town,28.06,1.83,Bilbo's Tea Cake,Monday
504,Darren,Petrushanko,Male,First Breakfast,Gladden Fields,22.68,5.54,Strawberry and Banana French Toast,Trewsday
505,Raff,Newbury,Male,First Breakfast,Town,21.76,8.9,Po-Tay-To Onion Soup,Trewsday
506,Sean,La Croce,Male,Dinner,Dragon's Den,1.79,4.15,Po-Tay-To Onion Soup,Hevensday
507,Phedra,Sedger,Female,First Breakfast,Town,28.02,1.91,Beorn Honey Nut Cake,Highday
508,Angelika,Ousby,Female,Supper,Gladden Fields,27.91,3.19,Po-Tay-To Onion Soup,Monday
509,Skipp,Noel,Male,Afternoon Tea,Gladden Fields,30.11,9.39,Po-Tay-To Onion Soup,Sterday
510,Frasier,Franc,Male,Dinner,Town,18.76,1.64,Beorn Honey Nut Cake,Trewsday
511,Maren,Wegener,Female,Afternoon Tea,Dragon's Den,24.85,7.27,Strawberry and Banana French Toast,Mersday
512,Florence,Giovannetti,Female,Luncheon,Town,13.0,3.23,Beorn Honey Nut Cake,Hevensday
513,Boot,Priest,Male,Elevenses,Town,27.0,9.83,Strawberry and Banana French Toast,Sunday
514,Juieta,Telega,Female,Elevenses,Gladden Fields,9.76,5.81,Beorn Honey Nut Cake,Monday
515,Alisa,Scrace,Female,Second Breakfast,Town,5.17,5.49,Strawberry and Banana French Toast,Sunday
